Position,Track Name,Artist,Streams,URL,Week Start Date,Week End Date,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
116,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,2013464,https://open.spotify.com/track/6LKYeyLt4G4SlZ6OJwFhVS,2018-11-23,2018-11-30,0.0651,Sick Boy...Beach House,0.539,199227,0.651,False,https://i.scdn.co/image/060a5c47795e07d39ffa51116a6eb62db750da74,0.0,1,0.0662,-5.304,1,78,0.0432,105.159,4,0.474
117,SLOW DANCING IN THE DARK,Joji,1999786,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,2018-11-23,2018-11-30,0.544,BALLADS 1,0.515,209274,0.479,True,https://i.scdn.co/image/288d6426dbdf9960d797ae345b09204874b476ca,0.00598,3,0.191,-7.458,1,82,0.0261,88.964,4,0.284
118,you should see me in a crown,Billie Eilish,1991356,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2,2018-11-23,2018-11-30,0.479,you should see me in a crown,0.697,180567,0.552,False,https://i.scdn.co/image/a291fbf77313f729dcb66d97686e6c87782d562e,0.127,1,0.147,-10.271,0,83,0.196,75.235,4,0.278
119,Love Lies (with Normani),Khalid,1990441,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,2018-11-23,2018-11-30,0.0956,Love Lies (with Normani),0.708,201707,0.648,False,https://i.scdn.co/image/0942f22399b0ba3e4f14533c347e9c7df62ad80f,0.0,6,0.134,-5.626,1,85,0.0449,143.955,4,0.338
120,goosebumps,Travis Scott,1978310,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2018-11-23,2018-11-30,0.0847,Birds In The Trap Sing McKnight,0.841,243837,0.728,True,https://i.scdn.co/image/ea447323073c2208e8cf64b0fc3250cc37c71c6c,0.0,7,0.149,-3.37,1,84,0.0484,130.049,4,0.43
121,Congratulations,Post Malone,1962943,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,2018-11-23,2018-11-30,0.215,Stoney (Deluxe),0.63,220293,0.804,True,https://i.scdn.co/image/642a2144f2355ff17a0e0b9bb60e5013bafb59d9,0.0,6,0.253,-4.183,1,85,0.0363,123.146,4,0.492
122,Close Friends (Lil Baby & Gunna),Lil Baby,1932280,https://open.spotify.com/track/5nzhL67GpF9szXWg5y509A,2018-11-23,2018-11-30,0.044,Drip Harder,0.665,203881,0.585,True,https://i.scdn.co/image/8e6d739dd8da743dc9572a239b65b290866f8f6a,0.0,10,0.0789,-5.077,0,80,0.366,158.953,4,0.658
123,Kamikaze,Lil Mosey,1928987,https://open.spotify.com/track/1iPBD72u3nAyFEeardYuBV,2018-11-23,2018-11-30,0.301,Northsbest,0.792,139200,0.571,True,https://i.scdn.co/image/28ce495097a8eb6ea014f139c58ae1f3d8379966,0.0,8,0.1,-7.539,0,81,0.094,99.999,4,0.556
124,Casper,Takeoff,1927781,https://open.spotify.com/track/1B4gJRq61xTs6r1O0Uq2iY,2018-11-23,2018-11-30,0.525,The Last Rocket,0.921,197079,0.607,True,https://i.scdn.co/image/31f1868f436e71fdfa0c1dafa2be0f0f7e04eeb7,1.12e-06,1,0.123,-7.397,1,79,0.209,140.071,4,0.753
125,Sundress,A$AP Rocky,1918806,https://open.spotify.com/track/2aPTvyE09vUCRwVvj0I8WK,2018-11-23,2018-11-30,0.176,Sundress,0.721,158206,0.704,True,https://i.scdn.co/image/127189577b8efaffed883e60587035492b43d506,3.71e-06,6,0.143,-6.364,1,77,0.0606,125.004,4,0.735
