URL,Acousticness,Album,Danceability,Duration (ms),Energy,Explicit,Image,Instrumentalness,Key,Liveness,Loudness,Mode,Popularity,Speechiness,Tempo,Time Signature,Valence
https://open.spotify.com/track/3yEtuhGR8jOtusa29jWrhG,0.398,Valio La Pena,0.691,300160.0,0.658,False,https://i.scdn.co/image/93f1283a6eeccf5c484099de7f3e7685dfca7d36,4.58e-05,0.0,0.112,-6.496,1.0,70.0,0.0359,97.68,4.0,0.617
https://open.spotify.com/track/2MnKininlD8bY9ggRNSJ37,0.248,Sigo Siendo Yo,0.42,302947.0,0.843,False,https://i.scdn.co/image/888f3bcd4f7644655ec966b2c80bb0d591e5b17f,0.0,7.0,0.078,-4.692,1.0,67.0,0.0647,173.91,4.0,0.539
https://open.spotify.com/track/5A32KQZznC2HSqr9qzTl2N,0.375,Valio La Pena,0.553,309587.0,0.632,False,https://i.scdn.co/image/93f1283a6eeccf5c484099de7f3e7685dfca7d36,0.0,4.0,0.267,-4.837,0.0,60.0,0.0782,85.1,4.0,0.687
https://open.spotify.com/track/5bkWgrKyNhMcriQP3CrHEA,0.267,Fabricando Fantasías,0.727,272267.0,0.857,False,https://i.scdn.co/image/1f11b8428b4e0a8f7f7cbcabda8a07d23a3fa118,0.0,9.0,0.112,-3.185,1.0,58.0,0.0412,91.149,4.0,0.94
https://open.spotify.com/track/4rJ0gZnmLl9CxWqRKz7S0E,0.453,Los Dúo 2,0.386,214067.0,0.556,False,https://i.scdn.co/image/f63cb49e5f2ae9535ac0687c6916d4c8fed29613,0.0,2.0,0.161,-6.361,1.0,61.0,0.05,163.584,4.0,0.441
https://open.spotify.com/track/2AMDKSt4HJWZbuLupJuNrj,0.332,Valio La Pena,0.521,289467.0,0.704,False,https://i.scdn.co/image/93f1283a6eeccf5c484099de7f3e7685dfca7d36,7.1e-06,9.0,0.0665,-5.772,0.0,57.0,0.0513,98.364,4.0,0.846
https://open.spotify.com/track/4nYuL6R1SuWAOJRwAWasct,0.187,Mira,0.64,216627.0,0.874,False,https://i.scdn.co/image/466d20b97066ef1718933126a1e368f373321298,0.0,2.0,0.116,-2.806,1.0,55.0,0.0591,189.865,4.0,0.556
https://open.spotify.com/track/5giBWdb2pJwFl3avFUKGXj,0.274,Oro Salsero,0.725,274653.0,0.864,False,https://i.scdn.co/image/9d136012a4a7559e438b2c73ffbb825ffbca58ac,0.0,9.0,0.0927,-3.422,1.0,53.0,0.041,91.233,4.0,0.932
https://open.spotify.com/track/7qhDd43Mw3H2dRvh6i6CYT,0.447,Valio La Pena,0.493,276373.0,0.779,False,https://i.scdn.co/image/93f1283a6eeccf5c484099de7f3e7685dfca7d36,2.03e-06,2.0,0.0865,-5.583,0.0,55.0,0.0408,87.142,4.0,0.654
https://open.spotify.com/track/383hkMdmA976zOTKRm6PLy,0.353,El Caballero De La Salsa - La Historia Tropical,0.811,256107.0,0.763,False,https://i.scdn.co/image/3da684ffdb3c4ac02e33f236764430d1d0e4e056,2.37e-06,1.0,0.145,-6.861,1.0,62.0,0.0417,100.268,4.0,0.964
https://open.spotify.com/track/1YMnbNeh4XRAaYMkDNQjJB,0.529,Salsa cubana,0.858,279011.0,0.965,False,https://i.scdn.co/image/7aad8b95beec5c91441f0449466cae2f81be43d6,0.882,11.0,0.326,-10.867,0.0,8.0,0.0566,109.7,4.0,0.765
