,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Falling Down - Bonus Track","Lil Peep",1951541,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
2,"I Love It (& Lil Pump)","Kanye West",1739958,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"New Patek","Lil Uzi Vert",1615795,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
4,"SICKO MODE","Travis Scott",1504147,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
5,"Lucky You (feat. Joyner Lucas)",Eminem,1381663,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
6,"Lucid Dreams","Juice WRLD",1290425,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1209109,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
8,SAD!,XXXTENTACION,1016342,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
9,"Wake Up in the Sky","Gucci Mane",1007299,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
10,"Mo Bamba","Sheck Wes",1000271,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
11,Nonstop,Drake,989110,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
12,"In My Feelings",Drake,968674,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
13,Better,Khalid,913104,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
14,Moonlight,XXXTENTACION,907877,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
15,"Yes Indeed","Lil Baby",905269,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
16,Killshot,Eminem,903340,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
17,Happier,Marshmello,871376,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
18,"Taste (feat. Offset)",Tyga,837783,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
19,"Better Now","Post Malone",830660,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
20,"Eastside (with Halsey & Khalid)","benny blanco",816540,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
21,"Drip Too Hard","Lil Baby",816313,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
22,Noticed,"Lil Mosey",719273,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
23,"I Like It","Cardi B",700309,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
24,STARGAZING,"Travis Scott",682705,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
25,"Jocelyn Flores",XXXTENTACION,679991,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
26,"Lean Wit Me","Juice WRLD",657114,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
27,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,646817,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
28,"The Ringer",Eminem,643038,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
29,Natural,"Imagine Dragons",625465,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
30,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,621159,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
31,"All Girls Are The Same","Juice WRLD",607195,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
32,"Self Care","Mac Miller",600063,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
33,breathin,"Ariana Grande",596345,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
34,YOSEMITE,"Travis Scott",573464,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
35,"Girls Like You (feat. Cardi B)","Maroon 5",569160,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
36,"God is a woman","Ariana Grande",565774,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
37,"Psycho (feat. Ty Dolla $ign)","Post Malone",564038,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
38,"No Brainer","DJ Khaled",563255,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
39,"God's Plan",Drake,560444,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
40,changes,XXXTENTACION,557076,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
41,"SLOW DANCING IN THE DARK",Joji,556204,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
42,"Leave Me Alone","Flipp Dinero",547053,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
43,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",543145,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
44,Youngblood,"5 Seconds of Summer",538138,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
45,"Be Alright","Dean Lewis",527560,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
46,"rockstar (feat. 21 Savage)","Post Malone",523804,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
47,"Nice For What",Drake,512132,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
48,"Promises (with Sam Smith)","Calvin Harris",506235,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
49,"Not Alike (feat. Royce Da 5'9)",Eminem,501812,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
50,"Electricity (with Dua Lipa)","Silk City",498485,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
51,"Drew Barrymore","Bryce Vine",495248,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
52,"Taking A Walk","Trippie Redd",491409,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
