,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,1510011,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"Yes Indeed","Lil Baby",1454829,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
3,"Lucid Dreams","Juice WRLD",1177827,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"Better Now","Post Malone",1167138,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
5,"God's Plan",Drake,1153443,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
6,"This Is America","Childish Gambino",1132021,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
7,"Psycho (feat. Ty Dolla $ign)","Post Malone",1015413,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
8,"Look Alive (feat. Drake)","BlocBoy JB",945940,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
9,"I Like It","Cardi B",890850,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",791489,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
11,"rockstar (feat. 21 Savage)","Post Malone",741404,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
12,"Walk It Talk It",Migos,688762,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
13,"Ric Flair Drip (& Metro Boomin)",Offset,667932,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
14,"Plug Walk","Rich The Kid",664614,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
15,SAD!,XXXTENTACION,646296,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
16,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",645141,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
17,Paranoid,"Post Malone",628493,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
