,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Nonstop,Drake,2517536,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,"Don’t Matter To Me",Drake,2204164,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,"In My Feelings",Drake,1922986,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
4,"I'm Upset",Drake,1707944,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
5,"Lucid Dreams","Juice WRLD",1685606,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
6,SAD!,XXXTENTACION,1548604,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
7,"Mob Ties",Drake,1518238,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
8,"Nice For What",Drake,1512745,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
9,"God's Plan",Drake,1482194,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
10,Emotionless,Drake,1437330,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
11,Elevate,Drake,1286544,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
12,"I Like It","Cardi B",1207809,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
13,"Can’t Take A Joke",Drake,1202740,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
14,Moonlight,XXXTENTACION,1177356,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
15,"Talk Up",Drake,1102873,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
16,"8 Out Of 10",Drake,1039964,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
17,Survival,Drake,1029218,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
18,"Taste (feat. Offset)",Tyga,1027327,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
19,"Yes Indeed","Lil Baby",1021682,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
20,"Better Now","Post Malone",983251,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
21,"no tears left to cry","Ariana Grande",918911,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
22,"Sandra’s Rose",Drake,914970,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
23,"Girls Like You (feat. Cardi B)","Maroon 5",899248,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
24,"Blue Tint",Drake,895655,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
25,"Summer Games",Drake,867208,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
26,"Party In The U.S.A.","Miley Cyrus",852761,https://open.spotify.com/track/5Q0Nhxo0l2bP3pNjpGJwV1
27,"Psycho (feat. Ty Dolla $ign)","Post Malone",777397,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
28,"Jocelyn Flores",XXXTENTACION,777093,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
29,Jaded,Drake,767971,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
30,"That’s How You Feel",Drake,762927,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
31,"After Dark",Drake,746987,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
32,Finesse,Drake,745399,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
33,changes,XXXTENTACION,743320,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
34,"All Girls Are The Same","Juice WRLD",707224,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
35,Peak,Drake,702384,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
36,"Is There More",Drake,701895,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
