,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,4650543,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,Narcos,Migos,1634923,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
3,"Walk It Talk It",Migos,1584838,https://open.spotify.com/track/1jr1BnpXymcf2i97mTR8tJ
4,"Stir Fry",Migos,1499177,https://open.spotify.com/track/2tek8UnoiJdkmpPMqa5KRQ
5,"BBO (Bad Bitches Only)",Migos,1421454,https://open.spotify.com/track/4BHzHISX21PYwGXiBEUQ70
6,Supastars,Migos,1278764,https://open.spotify.com/track/0egwbpNUagfbqFuqaPd6jt
7,rockstar,"Post Malone",1266363,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
8,"Higher We Go - Intro",Migos,1142464,https://open.spotify.com/track/3kh6liHZ8IHHRFMHXNJ79Y
9,"White Sand",Migos,1093347,https://open.spotify.com/track/2KokOIKdw4zZutDil85Ugh
10,MotorSport,Migos,1088075,https://open.spotify.com/track/3g9Mi3kTzzmjBUXN7wnGjI
11,"Diplomatic Immunity",Drake,1035775,https://open.spotify.com/track/3tvkzvUTF0yoq3pdBi81I0
12,"Auto Pilot",Migos,1015756,https://open.spotify.com/track/4Kw3CztmD15X1QGDnnHmLD
13,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",980022,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
14,"Emoji A Chain",Migos,967863,https://open.spotify.com/track/0G9rmRmQDFk9O2tzZLyRkc
15,"Ric Flair Drip (& Metro Boomin)",Offset,966783,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
16,"I Fall Apart","Post Malone",955535,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
17,"Notice Me",Migos,940976,https://open.spotify.com/track/07W9fL0ee9LsqD9c3kNrdo
18,"No Limit",G-Eazy,934752,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
19,CC,Migos,911703,https://open.spotify.com/track/35ffVv9x4mtzBh5rF1K9sP
20,Havana,"Camila Cabello",888696,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
