,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,1763143,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"This Is America","Childish Gambino",1665502,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
3,"Yes Indeed","Lil Baby",1660219,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
4,"Better Now","Post Malone",1557942,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
5,"Psycho (feat. Ty Dolla $ign)","Post Malone",1296678,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
6,"God's Plan",Drake,1242062,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"Lucid Dreams","Juice WRLD",1171724,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
8,"Look Alive (feat. Drake)","BlocBoy JB",1105294,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
9,"I Like It","Cardi B",1046318,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"rockstar (feat. 21 Savage)","Post Malone",883471,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
11,Paranoid,"Post Malone",877443,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
12,"Plug Walk","Rich The Kid",873013,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
13,"Walk It Talk It",Migos,851813,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
14,"Ball For Me (feat. Nicki Minaj)","Post Malone",846931,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
15,"no tears left to cry","Ariana Grande",802337,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
16,"Spoil My Night (feat. Swae Lee)","Post Malone",799994,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
17,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",790211,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
18,SAD!,XXXTENTACION,775066,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
19,OTW,Khalid,766569,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
20,"Love Lies (with Normani)",Khalid,760619,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
21,"Ric Flair Drip (& Metro Boomin)",Offset,760149,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
22,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",756642,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
23,"Playinwitme (feat. Kehlani)",KYLE,744864,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
24,"Back To You","Selena Gomez",736265,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
