,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,1752491,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"Yes Indeed","Lil Baby",1643377,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
3,"This Is America","Childish Gambino",1595207,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
4,"Better Now","Post Malone",1531001,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
5,"Psycho (feat. Ty Dolla $ign)","Post Malone",1299575,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
6,"God's Plan",Drake,1266696,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"Lucid Dreams","Juice WRLD",1264807,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
8,"Look Alive (feat. Drake)","BlocBoy JB",1117062,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
9,"I Like It","Cardi B",1040590,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"rockstar (feat. 21 Savage)","Post Malone",898663,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
11,"Plug Walk","Rich The Kid",873857,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
12,Paranoid,"Post Malone",858884,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
13,"Ball For Me (feat. Nicki Minaj)","Post Malone",837556,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
14,"Walk It Talk It",Migos,825535,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
15,"no tears left to cry","Ariana Grande",790464,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
16,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",789428,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
17,"Spoil My Night (feat. Swae Lee)","Post Malone",786746,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
18,"Ric Flair Drip (& Metro Boomin)",Offset,784917,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
19,"All Girls Are The Same","Juice WRLD",784099,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
20,SAD!,XXXTENTACION,767636,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"Love Lies (with Normani)",Khalid,743402,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
22,Stay,"Post Malone",720290,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
23,"Playinwitme (feat. Kehlani)",KYLE,716822,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
24,JAPAN,"Famous Dex",714067,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
25,OTW,Khalid,704156,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
26,"Rich & Sad","Post Malone",701526,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
27,KOD,"J. Cole",686312,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
28,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",681459,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
29,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",665488,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
30,"Back To You","Selena Gomez",657830,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
31,"Call Out My Name","The Weeknd",651987,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
32,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",649923,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
33,"Candy Paint","Post Malone",634661,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
34,"lovely (with Khalid)","Billie Eilish",629783,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
35,"The Middle",Zedd,628552,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
36,"FAKE LOVE",BTS,625120,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
37,"I Fall Apart","Post Malone",620388,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
38,"Freaky Friday (feat. Chris Brown)","Lil Dicky",619415,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
39,"One Kiss (with Dua Lipa)","Calvin Harris",580451,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
40,"Over Now","Post Malone",563740,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
41,"92 Explorer","Post Malone",547467,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
42,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",543921,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
43,"Zack And Codeine","Post Malone",539670,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
44,"All The Stars (with SZA)","Kendrick Lamar",536823,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
45,"Te Boté - Remix","Nio Garcia",528555,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
46,Youngblood,"5 Seconds of Summer",528216,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
47,Mine,Bazzi,528146,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
48,"Takin' Shots","Post Malone",500602,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
49,"Same Bitches (feat. G-Eazy & YG)","Post Malone",491237,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
50,"Be Careful","Cardi B",478820,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
51,"Sangria Wine","Pharrell Williams",471037,https://open.spotify.com/track/6XlSyYFTU1nodeWwwzVgTV
52,"Stir Fry",Migos,470215,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
53,"XO TOUR Llif3","Lil Uzi Vert",468794,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
54,FRIENDS,Marshmello,456607,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
55,"Solo (feat. Demi Lovato)","Clean Bandit",444928,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
56,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",442043,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
57,Chun-Li,"Nicki Minaj",437070,https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld
58,Moonlight,XXXTENTACION,434679,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
59,"Youth (feat. Khalid)","Shawn Mendes",422112,https://open.spotify.com/track/3Wf2YGdYT8xVdNsQSoRKk9
60,"Red Roses (feat. Landon Cube)","Lil Skies",419597,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
61,Congratulations,"Post Malone",405852,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
62,Heaven,"Kane Brown",402166,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7
63,HUMBLE.,"Kendrick Lamar",401831,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
64,Otherside,"Post Malone",397857,https://open.spotify.com/track/4qWCFTuNnmGNdY4egtb4ZY
65,1942,G-Eazy,395141,https://open.spotify.com/track/794QVQtFNy7hvtjQP1keQd
66,Somebody,"The Chainsmokers",395027,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
67,Esskeetit,"Lil Pump",387357,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
68,"In My Blood","Shawn Mendes",378323,https://open.spotify.com/track/79jX8RM5CgPqDKdGEKNW9K
69,"Kevin’s Heart","J. Cole",377352,https://open.spotify.com/track/6tZ3b7ik1QDXFAZlXib0YZ
70,"Young Dumb & Broke",Khalid,373543,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
71,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,372501,https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO
72,"Blame It On Me","Post Malone",367117,https://open.spotify.com/track/1ZemPoaj7LBj1RAQrb89EC
73,"Nowadays (feat. Landon Cube)","Lil Skies",364183,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
74,"Jocelyn Flores",XXXTENTACION,361833,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
75,ATM,"J. Cole",361422,https://open.spotify.com/track/2UciqgwVDwro0fev3MFbxJ
76,"Jackie Chan",Tiësto,358100,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
77,goosebumps,"Travis Scott",351430,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
78,"Sugar Wraith","Post Malone",350984,https://open.spotify.com/track/0MrRAUcB8AZiB9ue2VOBYe
79,X,"Nicky Jam",347126,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
80,Havana,"Camila Cabello",345724,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
81,"Champion (feat. Travis Scott)",NAV,344639,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
82,"Bank Account","21 Savage",343177,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
