,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,1652959,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"Yes Indeed","Lil Baby",1603051,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
3,"Lucid Dreams","Juice WRLD",1477603,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"I'm Upset",Drake,1412577,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
5,"Better Now","Post Malone",1326906,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
6,"This Is America","Childish Gambino",1205358,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
7,"God's Plan",Drake,1136091,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
8,"Psycho (feat. Ty Dolla $ign)","Post Malone",1099075,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
9,"I Like It","Cardi B",1034601,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"Look Alive (feat. Drake)","BlocBoy JB",985929,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
11,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",887024,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
12,"rockstar (feat. 21 Savage)","Post Malone",783214,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
13,"All Girls Are The Same","Juice WRLD",735071,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
14,"Plug Walk","Rich The Kid",724587,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
15,Paranoid,"Post Malone",714135,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
16,"Ball For Me (feat. Nicki Minaj)","Post Malone",703087,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
17,"Ric Flair Drip (& Metro Boomin)",Offset,698882,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
18,"no tears left to cry","Ariana Grande",696260,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
19,TATI,6ix9ine,696029,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
20,SAD!,XXXTENTACION,695588,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
21,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",685404,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
22,"Walk It Talk It",Migos,681019,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
23,"Love Lies (with Normani)",Khalid,668203,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
24,"Back To You","Selena Gomez",641613,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
25,"Spoil My Night (feat. Swae Lee)","Post Malone",637881,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
26,OTW,Khalid,637264,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
27,"Playinwitme (feat. Kehlani)",KYLE,634361,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
28,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",627991,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
29,JAPAN,"Famous Dex",610768,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
30,Stay,"Post Malone",609063,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
31,"Rich & Sad","Post Malone",594510,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
32,"Call Out My Name","The Weeknd",592244,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
33,"lovely (with Khalid)","Billie Eilish",585347,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
34,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",574984,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
35,"I Fall Apart","Post Malone",573891,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
36,Youngblood,"5 Seconds of Summer",572920,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
37,KOD,"J. Cole",555958,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
38,"One Kiss (with Dua Lipa)","Calvin Harris",554451,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
39,Nervous,"Shawn Mendes",551310,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
40,"Taste (feat. Offset)",Tyga,549366,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
41,"In My Blood","Shawn Mendes",548773,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
