,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,1676503,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"Yes Indeed","Lil Baby",1599010,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
3,"Better Now","Post Malone",1326062,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
4,"This Is America","Childish Gambino",1312483,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
5,"God's Plan",Drake,1284699,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
6,"Lucid Dreams","Juice WRLD",1267682,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
7,"Psycho (feat. Ty Dolla $ign)","Post Malone",1144052,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
8,"Look Alive (feat. Drake)","BlocBoy JB",1057875,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
9,"I Like It","Cardi B",1006851,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",975345,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
11,"rockstar (feat. 21 Savage)","Post Malone",826585,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
12,"Walk It Talk It",Migos,771427,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
13,"Plug Walk","Rich The Kid",743841,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
14,"Ric Flair Drip (& Metro Boomin)",Offset,739236,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
15,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",716388,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
16,Paranoid,"Post Malone",711611,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
17,SAD!,XXXTENTACION,701989,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
18,"no tears left to cry","Ariana Grande",699538,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
19,"Ball For Me (feat. Nicki Minaj)","Post Malone",695439,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
20,"All Girls Are The Same","Juice WRLD",660360,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
21,OTW,Khalid,645449,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
22,"Spoil My Night (feat. Swae Lee)","Post Malone",637621,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
23,"Love Lies (with Normani)",Khalid,624965,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
24,JAPAN,"Famous Dex",619945,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
25,"Playinwitme (feat. Kehlani)",KYLE,612391,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
26,"A$AP Forever REMIX","A$AP Rocky",607948,https://open.spotify.com/track/3oHkMCVJyOcjg5FhfLc2Rq
27,"If You Know You Know","Pusha T",599791,https://open.spotify.com/track/6bGwKHXHNLmTy6yt147FPh
28,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",595287,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
29,Nervous,"Shawn Mendes",587607,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
30,Stay,"Post Malone",580166,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
31,"Freaky Friday (feat. Chris Brown)","Lil Dicky",579227,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
32,"Rich & Sad","Post Malone",577892,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
33,"In My Blood","Shawn Mendes",576362,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
34,"One Kiss (with Dua Lipa)","Calvin Harris",576008,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
35,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",568928,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
36,KOD,"J. Cole",565884,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
37,"Back To You","Selena Gomez",563755,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
38,"Candy Paint","Post Malone",563459,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
39,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",556705,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
40,"Youth feat. Khalid","Shawn Mendes",554851,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
41,"Call Out My Name","The Weeknd",554680,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
42,"I Fall Apart","Post Malone",550357,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
43,Youngblood,"5 Seconds of Summer",534888,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
44,"The Middle",Zedd,534781,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
45,"Te Boté - Remix","Nio Garcia",530462,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
46,"What Would Meek Do?","Pusha T",523553,https://open.spotify.com/track/5vnuJ8EopkP5dHukpOmT3L
47,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",505199,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
48,"lovely (with Khalid)","Billie Eilish",497333,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
49,"Fukk Sleep","A$AP Rocky",496594,https://open.spotify.com/track/1AqemxWsT0iGg5Lvkm16Bt
50,"All The Stars (with SZA)","Kendrick Lamar",479056,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
51,Mine,Bazzi,477365,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
52,"Stir Fry",Migos,474741,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
53,"Tony Tone","A$AP Rocky",464511,https://open.spotify.com/track/52eYVUkFTOVozbVFIaFrnV
54,Infrared,"Pusha T",463850,https://open.spotify.com/track/6cpsixIHI63L0hwh3CwZg3
55,"Be Careful","Cardi B",459934,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
56,"92 Explorer","Post Malone",453106,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
57,"Buck Shots","A$AP Rocky",450332,https://open.spotify.com/track/6ImrWnhjEOw5re3cGLMIHJ
58,"Over Now","Post Malone",450089,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
59,"XO TOUR Llif3","Lil Uzi Vert",446008,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
60,"Zack And Codeine","Post Malone",443092,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
61,"Distorted Records","A$AP Rocky",442299,https://open.spotify.com/track/57q6BgYP4gN6hPQViCB3um
62,"Taste (feat. Offset)",Tyga,437299,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
63,"FAKE LOVE",BTS,434746,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
64,FRIENDS,Marshmello,422209,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
65,"The Games We Play","Pusha T",420625,https://open.spotify.com/track/7iEoaTyBCqLaAwJnOP1BTn
66,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",419351,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
67,"Takin' Shots","Post Malone",411996,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
68,"Gunz N Butter","A$AP Rocky",407154,https://open.spotify.com/track/5N521RK66Z1FP0Oz6B4OlT
69,"Same Bitches (feat. G-Eazy & YG)","Post Malone",402325,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
70,Moonlight,XXXTENTACION,397005,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
71,"Hard Piano","Pusha T",396877,https://open.spotify.com/track/3HgA5R5alihocnOYE9ihpS
72,"Champion (feat. Travis Scott)",NAV,393368,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
73,"OG Beeper","A$AP Rocky",392579,https://open.spotify.com/track/5TX0mfUkpGlU6j2xa00ERx
74,Somebody,"The Chainsmokers",385421,https://open.spotify.com/track/3pWcj8hxj3fsb9TDAcMpEl
75,"Come Back Baby","Pusha T",383910,https://open.spotify.com/track/2BuBXn15gj4MNYZydyWgrk
76,CALLDROPS,"A$AP Rocky",382153,https://open.spotify.com/track/1wGYcpJZ59rePkNu4zHmLu
77,Chun-Li,"Nicki Minaj",382143,https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld
78,HUMBLE.,"Kendrick Lamar",381975,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
79,Congratulations,"Post Malone",381596,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
80,Heaven,"Kane Brown",380935,https://open.spotify.com/track/1HXy5I3HTWq8OvxCn0z7G7
81,"Lost In Japan","Shawn Mendes",380653,https://open.spotify.com/track/6WBTeFDEfAJbaSUUc1V1xQ
82,Esskeetit,"Lil Pump",379985,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
83,Santeria,"Pusha T",368600,https://open.spotify.com/track/4LKSaRoKNnlpKXTT663BrT
84,"Red Roses (feat. Landon Cube)","Lil Skies",365310,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
85,X,"Nicky Jam",362047,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
86,"Where Were You In The Morning?","Shawn Mendes",360414,https://open.spotify.com/track/51wrmElSLxFzc0vSQPeTxs
87,Havana,"Camila Cabello",359576,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
88,"Young Dumb & Broke",Khalid,351474,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
89,Purity,"A$AP Rocky",346508,https://open.spotify.com/track/2MF4HtZHBoUliOi9nOAbS0
90,Tequila,"Dan + Shay",344236,https://open.spotify.com/track/7Il2yWQmsqKgSkLQvHTPUI
91,goosebumps,"Travis Scott",333703,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
92,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,333570,https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO
93,"Solo (feat. Demi Lovato)","Clean Bandit",328417,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
94,1942,G-Eazy,326941,https://open.spotify.com/track/794QVQtFNy7hvtjQP1keQd
95,"Bank Account","21 Savage",326582,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
96,"Jocelyn Flores",XXXTENTACION,325246,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
97,Otherside,"Post Malone",322197,https://open.spotify.com/track/4qWCFTuNnmGNdY4egtb4ZY
