,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1629295,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2,"thank u, next","Ariana Grande",1507752,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
3,"SICKO MODE","Travis Scott",1466572,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"Going Bad (feat. Drake)","Meek Mill",1354266,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
5,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1349518,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1333740,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,"Mo Bamba","Sheck Wes",1187418,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
8,"Without Me",Halsey,1158362,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
9,"All I Want for Christmas Is You","Mariah Carey",1036723,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
10,imagine,"Ariana Grande",972975,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
11,"Leave Me Alone","Flipp Dinero",947689,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
12,"Rockin' Around The Christmas Tree","Brenda Lee",889837,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
13,"Wake Up in the Sky","Gucci Mane",872229,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
14,"Jingle Bell Rock","Bobby Helms",863730,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
15,"Lucid Dreams","Juice WRLD",848775,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
16,"Santa Tell Me","Ariana Grande",819061,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
17,"whoa (mind in awe)",XXXTENTACION,815992,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
18,"Last Christmas",Wham!,806401,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
19,"It's the Most Wonderful Time of the Year","Andy Williams",785751,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
20,BAD!,XXXTENTACION,751001,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
21,SAD!,XXXTENTACION,742857,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
22,Happier,Marshmello,685793,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
23,"Better Now","Post Malone",677271,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
24,"Do They Know It's Christmas? - 1984 Version","Band Aid",671690,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
25,"KIKA (feat. Tory Lanez)",6ix9ine,663881,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
26,Moonlight,XXXTENTACION,657685,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
27,"It's Beginning to Look a Lot Like Christmas","Michael Bublé",648330,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
28,"Armed And Dangerous","Juice WRLD",642244,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
29,Nonstop,Drake,641416,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
30,Better,Khalid,636539,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
31,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",626825,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
32,"when the party's over","Billie Eilish",625681,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
33,Money,"Cardi B",616585,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
34,"A Holly Jolly Christmas - Single Version","Burl Ives",614838,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
35,"The Christmas Song (Merry Christmas To You)","Nat King Cole",595501,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
36,"MIA (feat. Drake)","Bad Bunny",591458,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
37,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",591399,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
38,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,585754,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
39,"Eastside (with Halsey & Khalid)","benny blanco",584508,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
40,"Calling My Spirit","Kodak Black",578597,https://open.spotify.com/track/2MShy1GSSgbmGUxADNIao5
41,Mistletoe,"Justin Bieber",575969,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
42,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",566080,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
43,"High Hopes","Panic! At The Disco",555872,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
44,"FEFE (feat. Nicki Minaj, Murda Beatz)",6ix9ine,555865,https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK
45,"Taste (feat. Offset)",Tyga,553567,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
46,"Jocelyn Flores",XXXTENTACION,546257,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
47,"Saturday Nights",Khalid,536273,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
48,"Yes Indeed","Lil Baby",535880,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
49,"White Christmas","Bing Crosby",531646,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
50,"MoshPit (feat. Juice WRLD)","Kodak Black",524713,https://open.spotify.com/track/4KX8vXbouybtUptEyYxtIk
51,lovely,"Billie Eilish",512006,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
52,"I Like It","Cardi B",507097,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
53,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",500746,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
54,"Fine China",Future,499477,https://open.spotify.com/track/5274I4mUMnYczyeXkGDWZN
55,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",497220,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
56,"Happy Xmas (War Is Over) - Remastered","John Lennon",482293,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
57,"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby",477230,https://open.spotify.com/track/6wWaVoUOzLQJHd3bWAUpdZ
58,Topanga,"Trippie Redd",470201,https://open.spotify.com/track/5aXgz1oKK8Q9z9xvTmSnrO
59,"Feliz Navidad","José Feliciano",462819,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
60,idontwannabeyouanymore,"Billie Eilish",458394,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu
61,"Blue Christmas","Elvis Presley",456035,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
62,"I Fall Apart","Post Malone",452813,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
63,"rockstar (feat. 21 Savage)","Post Malone",452711,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
64,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,450988,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
65,"Psycho (feat. Ty Dolla $ign)","Post Malone",450986,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
66,"10 Freaky Girls (with 21 Savage)","Metro Boomin",448968,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
67,"God's Plan",Drake,444414,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
68,"Holly Jolly Christmas","Michael Bublé",443202,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
69,Splashin,"Rich The Kid",440676,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
70,"All Girls Are The Same","Juice WRLD",430063,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
71,"No Stylist","French Montana",427587,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
72,YOSEMITE,"Travis Scott",426055,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
73,"Roses (with Juice WRLD feat. Brendon Urie)","benny blanco",425394,https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47
74,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",425379,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
75,"Space Cadet (feat. Gunna)","Metro Boomin",424812,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
76,"Baby, It's Cold Outside (feat. Meghan Trainor)","Brett Eldredge",420249,https://open.spotify.com/track/5Q2P43CJra0uRAogjHyJDK
77,"Run Rudolph Run - Single Version","Chuck Berry",418301,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
78,"Underneath the Tree","Kelly Clarkson",411535,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
79,"TIC TOC (feat. Lil Baby)",6ix9ine,409233,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
80,"Falling Down - Bonus Track","Lil Peep",407759,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9
81,changes,XXXTENTACION,406195,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
82,Noticed,"Lil Mosey",404077,https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP
83,"In My Feelings",Drake,403563,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
