,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,1671122,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"Yes Indeed","Lil Baby",1599732,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
3,"Lucid Dreams","Juice WRLD",1521149,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"I'm Upset",Drake,1479270,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
5,"Better Now","Post Malone",1333572,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
6,"This Is America","Childish Gambino",1190409,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
7,"God's Plan",Drake,1151778,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
8,"Psycho (feat. Ty Dolla $ign)","Post Malone",1122502,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
9,"I Like It","Cardi B",1092958,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"Look Alive (feat. Drake)","BlocBoy JB",1019164,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
11,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",864266,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
12,"All Girls Are The Same","Juice WRLD",820865,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
13,"rockstar (feat. 21 Savage)","Post Malone",801361,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
14,"Plug Walk","Rich The Kid",744148,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
15,"Ric Flair Drip (& Metro Boomin)",Offset,716574,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
16,"Ball For Me (feat. Nicki Minaj)","Post Malone",716265,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
17,Paranoid,"Post Malone",709900,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
