,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Falling Down - Bonus Track","Lil Peep",1549329,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
2,"I Love It (& Lil Pump)","Kanye West",1485762,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"SICKO MODE","Travis Scott",1417207,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"Lucid Dreams","Juice WRLD",1236403,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,"Mo Bamba","Sheck Wes",1163615,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
6,"New Patek","Lil Uzi Vert",1154006,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
7,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1100027,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
8,"Lucky You (feat. Joyner Lucas)",Eminem,1079528,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
9,Happier,Marshmello,1037904,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,Nonstop,Drake,987296,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
11,SAD!,XXXTENTACION,932671,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
12,"Wake Up in the Sky","Gucci Mane",919664,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
13,"Drip Too Hard","Lil Baby",911171,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
14,Better,Khalid,894081,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
15,"In My Feelings",Drake,856743,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,Moonlight,XXXTENTACION,843745,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
17,Noticed,"Lil Mosey",835553,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
18,"Yes Indeed","Lil Baby",811087,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
19,"Better Now","Post Malone",795460,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
20,"Taste (feat. Offset)",Tyga,787401,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
21,"Eastside (with Halsey & Khalid)","benny blanco",760082,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
22,Killshot,Eminem,691914,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
23,"I Like It","Cardi B",655590,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
24,"Sin (feat. Jaden Smith)","Young Thug",646247,https://open.spotify.com/track/1Jl21sidRpEdlVBvYbssLx
25,"Jocelyn Flores",XXXTENTACION,641860,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
26,STARGAZING,"Travis Scott",637506,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
27,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,629140,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
28,"No Stylist","French Montana",612913,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
29,"Leave Me Alone","Flipp Dinero",611299,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
30,"Lean Wit Me","Juice WRLD",600569,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
31,breathin,"Ariana Grande",582923,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
32,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,575303,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
