,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,2643596,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,Nonstop,Drake,1893172,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
3,"Lucid Dreams","Juice WRLD",1676162,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"Don’t Matter To Me",Drake,1506366,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
5,SAD!,XXXTENTACION,1468651,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"I'm Upset",Drake,1222111,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
7,"Nice For What",Drake,1190449,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
8,"I Like It","Cardi B",1152575,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,Moonlight,XXXTENTACION,1148389,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
10,"God's Plan",Drake,1072669,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
11,"Taste (feat. Offset)",Tyga,1038950,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
12,"Mob Ties",Drake,1016789,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
13,"Better Now","Post Malone",1007164,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
14,"Yes Indeed","Lil Baby",1003998,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
15,"Girls Like You (feat. Cardi B)","Maroon 5",992163,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
16,Emotionless,Drake,892690,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
17,Elevate,Drake,756564,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
18,"Psycho (feat. Ty Dolla $ign)","Post Malone",750337,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
19,"Can’t Take A Joke",Drake,740755,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
20,"Jocelyn Flores",XXXTENTACION,727134,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
21,changes,XXXTENTACION,706085,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
22,"All Girls Are The Same","Juice WRLD",686766,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
23,"Look Alive (feat. Drake)","BlocBoy JB",624275,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
24,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,617283,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
25,"Jackie Chan",Tiësto,605471,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
26,"Ocean (feat. Khalid)","Martin Garrix",602414,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
27,"Boo'd Up","Ella Mai",596120,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
28,"8 Out Of 10",Drake,595116,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
29,"Blue Tint",Drake,587389,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
30,Youngblood,"5 Seconds of Summer",586679,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
31,APESHIT,"The Carters",584964,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
32,"rockstar (feat. 21 Savage)","Post Malone",576659,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
33,Survival,Drake,572723,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
34,"All Mine","Kanye West",570912,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
35,"no tears left to cry","Ariana Grande",554302,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
36,"Talk Up",Drake,548965,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
37,"Bed (feat. Ariana Grande)","Nicki Minaj",525700,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
38,"Summer Games",Drake,523906,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
39,"Sandra’s Rose",Drake,523627,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
40,"After Dark",Drake,517954,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
41,"Back To You","Selena Gomez",509194,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
42,"WIFI LIT",Future,507040,https://open.spotify.com/track/6WlxcZKpEV6Bwe9InoVhMp
43,"One Kiss (with Dua Lipa)","Calvin Harris",496775,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
44,"That’s How You Feel",Drake,480145,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
45,"Ball For Me (feat. Nicki Minaj)","Post Malone",475122,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
46,"Plug Walk","Rich The Kid",474263,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
47,"Everybody Dies In Their Nightmares",XXXTENTACION,471066,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
48,"Te Boté - Remix","Nio Garcia",468266,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
49,Jaded,Drake,452097,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
50,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",451846,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
51,Finesse,Drake,448922,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
52,"lovely (with Khalid)","Billie Eilish",435921,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
53,"Walk It Talk It",Migos,431539,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
54,"I Fall Apart","Post Malone",427843,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
55,"This Is America","Childish Gambino",424287,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
56,"Ric Flair Drip (& Metro Boomin)",Offset,424212,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
57,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",420451,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
