,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,2457628,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,Nonstop,Drake,2284313,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
3,"Lucid Dreams","Juice WRLD",1801894,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"Don’t Matter To Me",Drake,1774163,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
5,SAD!,XXXTENTACION,1636656,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"I'm Upset",Drake,1458826,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
7,"Nice For What",Drake,1387226,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
8,"Mob Ties",Drake,1280694,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
9,"God's Plan",Drake,1274450,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
10,Moonlight,XXXTENTACION,1254408,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
11,"I Like It","Cardi B",1229558,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
12,Emotionless,Drake,1153464,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
13,"Taste (feat. Offset)",Tyga,1111315,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
14,"Better Now","Post Malone",1065615,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
15,"Yes Indeed","Lil Baby",1059332,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
16,"Girls Like You (feat. Cardi B)","Maroon 5",1049013,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
17,Elevate,Drake,989855,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
18,"Can’t Take A Joke",Drake,969529,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
19,"Talk Up",Drake,830876,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
20,"8 Out Of 10",Drake,816024,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
21,"Psycho (feat. Ty Dolla $ign)","Post Malone",810587,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
22,"Jocelyn Flores",XXXTENTACION,800489,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
23,"WIFI LIT",Future,786992,https://open.spotify.com/track/6WlxcZKpEV6Bwe9InoVhMp
24,changes,XXXTENTACION,780005,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
25,"Blue Tint",Drake,766271,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
26,Survival,Drake,757889,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
27,"All Girls Are The Same","Juice WRLD",740711,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
28,"Summer Games",Drake,736818,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
29,"Sandra’s Rose",Drake,713098,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
30,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,666882,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
31,"After Dark",Drake,666149,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
32,"Look Alive (feat. Drake)","BlocBoy JB",658136,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
33,"Ocean (feat. Khalid)","Martin Garrix",652411,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
34,"That’s How You Feel",Drake,649762,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
35,"Jackie Chan",Tiësto,648723,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
