,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Nonstop,Drake,2312745,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,"In My Feelings",Drake,2151023,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
3,"Don’t Matter To Me",Drake,1893048,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
4,"Lucid Dreams","Juice WRLD",1688915,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
5,SAD!,XXXTENTACION,1555069,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"I'm Upset",Drake,1535536,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
7,"Nice For What",Drake,1398290,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
8,"Mob Ties",Drake,1377029,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
9,"God's Plan",Drake,1334496,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
10,Emotionless,Drake,1261215,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
11,"I Like It","Cardi B",1166973,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
12,Moonlight,XXXTENTACION,1156552,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
13,Elevate,Drake,1108364,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
14,"Can’t Take A Joke",Drake,1074293,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
15,"Taste (feat. Offset)",Tyga,1024397,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
16,"Better Now","Post Malone",998581,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
17,"Yes Indeed","Lil Baby",991771,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
18,"Talk Up",Drake,991157,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
19,"Girls Like You (feat. Cardi B)","Maroon 5",972216,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
20,"8 Out Of 10",Drake,905803,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
21,Survival,Drake,863293,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
22,"Blue Tint",Drake,830752,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
23,"Sandra’s Rose",Drake,804631,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
24,"Summer Games",Drake,778220,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
25,"Psycho (feat. Ty Dolla $ign)","Post Malone",772013,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
26,"Jocelyn Flores",XXXTENTACION,761909,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
27,changes,XXXTENTACION,731506,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
28,"That’s How You Feel",Drake,703174,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
29,"After Dark",Drake,703140,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
30,"All Girls Are The Same","Juice WRLD",698138,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
31,Jaded,Drake,691884,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
32,"no tears left to cry","Ariana Grande",691650,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
33,Finesse,Drake,672416,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
34,"Look Alive (feat. Drake)","BlocBoy JB",642250,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
35,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,630098,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
36,"Jackie Chan",Tiësto,627878,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
37,Peak,Drake,624832,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
38,"rockstar (feat. 21 Savage)","Post Malone",620511,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
39,"Is There More",Drake,615448,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
40,"All Mine","Kanye West",613819,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
41,"Ocean (feat. Khalid)","Martin Garrix",605926,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
42,APESHIT,"The Carters",593411,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
43,"Boo'd Up","Ella Mai",577345,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
44,Youngblood,"5 Seconds of Summer",560049,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
45,"Ratchet Happy Birthday",Drake,558650,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
46,"Back To You","Selena Gomez",535151,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
47,"Bed (feat. Ariana Grande)","Nicki Minaj",511142,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
48,"One Kiss (with Dua Lipa)","Calvin Harris",495529,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
49,"This Is America","Childish Gambino",491994,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
50,"Ric Flair Drip (& Metro Boomin)",Offset,482953,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
51,"Everybody Dies In Their Nightmares",XXXTENTACION,482625,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
52,"Final Fantasy",Drake,481667,https://open.spotify.com/track/7ijJ5crvsnCvCLJbHpyq3j
53,"Plug Walk","Rich The Kid",479350,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
54,"March 14",Drake,475820,https://open.spotify.com/track/40IiSjljbAhrSbdJ3HxSfH
55,"Te Boté - Remix","Nio Garcia",470660,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
56,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",468510,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
57,"Ball For Me (feat. Nicki Minaj)","Post Malone",464059,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
58,"lovely (with Khalid)","Billie Eilish",445890,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
59,"Walk It Talk It",Migos,442675,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
60,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,435855,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
61,"I Fall Apart","Post Malone",428200,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
62,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,423177,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
63,Mine,Bazzi,421842,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
64,"New Light","John Mayer",419418,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
65,JAPAN,"Famous Dex",417056,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
66,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",417018,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
67,"Party In The U.S.A.","Miley Cyrus",399226,https://open.spotify.com/track/5Q0Nhxo0l2bP3pNjpGJwV1
68,"Look At Me!",XXXTENTACION,391901,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
69,Hope,XXXTENTACION,389972,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
70,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",383333,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
71,"Love Lies (with Normani)",Khalid,381441,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
72,"Candy Paint","Post Malone",380073,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
73,"High Hopes","Panic! At The Disco",367624,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
74,Thunder,"Imagine Dragons",364184,https://open.spotify.com/track/7BrsBU0BAytRDvROM4yCbn
75,"Solo (feat. Demi Lovato)","Clean Bandit",364074,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
76,OTW,Khalid,362966,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
77,Location,Khalid,362239,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
78,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",359389,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
79,Simple,"Florida Georgia Line",355958,https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi
80,"XO TOUR Llif3","Lil Uzi Vert",353177,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
81,"Born To Be Yours",Kygo,348644,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
82,"Shape of You","Ed Sheeran",346414,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
83,"Bigger Than You (feat. Drake & Quavo)","2 Chainz",346140,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf
84,"The Middle",Zedd,335683,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
85,"Start Again (feat. Logic)",OneRepublic,331012,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
86,Tequila,"Dan + Shay",329269,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
87,Yikes,"Kanye West",328670,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
