,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,1775981,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,"Yes Indeed","Lil Baby",1637728,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
3,"Better Now","Post Malone",1509007,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
4,"This Is America","Childish Gambino",1505865,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
5,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",1339872,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
6,"Lucid Dreams","Juice WRLD",1332635,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
7,"God's Plan",Drake,1329458,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
8,"Psycho (feat. Ty Dolla $ign)","Post Malone",1290689,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
9,"Look Alive (feat. Drake)","BlocBoy JB",1121489,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
10,"I Like It","Cardi B",1072436,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
11,"A$AP Forever REMIX","A$AP Rocky",982957,https://open.spotify.com/track/3oHkMCVJyOcjg5FhfLc2Rq
12,"Distorted Records","A$AP Rocky",910626,https://open.spotify.com/track/57q6BgYP4gN6hPQViCB3um
13,"rockstar (feat. 21 Savage)","Post Malone",909408,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
14,"Plug Walk","Rich The Kid",851986,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
15,"Fukk Sleep","A$AP Rocky",849914,https://open.spotify.com/track/1AqemxWsT0iGg5Lvkm16Bt
16,"Tony Tone","A$AP Rocky",848260,https://open.spotify.com/track/52eYVUkFTOVozbVFIaFrnV
17,"If You Know You Know","Pusha T",840937,https://open.spotify.com/track/6bGwKHXHNLmTy6yt147FPh
18,Paranoid,"Post Malone",835854,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
19,"Walk It Talk It",Migos,811662,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
20,"Ball For Me (feat. Nicki Minaj)","Post Malone",810665,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
21,Nervous,"Shawn Mendes",799451,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
22,"Ric Flair Drip (& Metro Boomin)",Offset,796884,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
23,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",791438,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
24,"no tears left to cry","Ariana Grande",779002,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
25,SAD!,XXXTENTACION,765230,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
26,"All Girls Are The Same","Juice WRLD",759531,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
27,"Buck Shots","A$AP Rocky",755097,https://open.spotify.com/track/6ImrWnhjEOw5re3cGLMIHJ
28,CALLDROPS,"A$AP Rocky",754564,https://open.spotify.com/track/1wGYcpJZ59rePkNu4zHmLu
29,"Spoil My Night (feat. Swae Lee)","Post Malone",745472,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
30,"Love Lies (with Normani)",Khalid,718617,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
31,OTW,Khalid,716104,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
32,"Gunz N Butter","A$AP Rocky",712195,https://open.spotify.com/track/5N521RK66Z1FP0Oz6B4OlT
33,"Playinwitme (feat. Kehlani)",KYLE,711392,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
34,JAPAN,"Famous Dex",690984,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
35,Stay,"Post Malone",688708,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
36,"What Would Meek Do?","Pusha T",686887,https://open.spotify.com/track/5vnuJ8EopkP5dHukpOmT3L
37,"Rich & Sad","Post Malone",680867,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
38,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",679910,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
39,"In My Blood","Shawn Mendes",672606,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
40,"Back To You","Selena Gomez",665206,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
41,"Youth feat. Khalid","Shawn Mendes",663159,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
42,"OG Beeper","A$AP Rocky",661392,https://open.spotify.com/track/5TX0mfUkpGlU6j2xa00ERx
43,KOD,"J. Cole",652850,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
44,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",652797,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
45,"Freaky Friday (feat. Chris Brown)","Lil Dicky",645934,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
46,"Call Out My Name","The Weeknd",641703,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
47,"Watch (feat. Lil Uzi Vert & Kanye West)","Travis Scott",641480,https://open.spotify.com/track/3DoBTwfr8yi2LN08SBpFkN
48,"The Middle",Zedd,639158,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
49,"Candy Paint","Post Malone",636546,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
50,"I Fall Apart","Post Malone",617747,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
51,"The Games We Play","Pusha T",616478,https://open.spotify.com/track/7iEoaTyBCqLaAwJnOP1BTn
52,"One Kiss (with Dua Lipa)","Calvin Harris",614171,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
53,Purity,"A$AP Rocky",607730,https://open.spotify.com/track/2MF4HtZHBoUliOi9nOAbS0
54,"Brotha Man","A$AP Rocky",603789,https://open.spotify.com/track/6MmtDonkpvSoRx9ACwrGDu
55,"lovely (with Khalid)","Billie Eilish",589994,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
56,"Hard Piano","Pusha T",584187,https://open.spotify.com/track/3HgA5R5alihocnOYE9ihpS
57,Youngblood,"5 Seconds of Summer",583597,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
58,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",563868,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
59,"Te Boté - Remix","Nio Garcia",552785,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
60,"FAKE LOVE",BTS,550264,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
61,"Kids Turned Out Fine","A$AP Rocky",549619,https://open.spotify.com/track/0qp8MuZNKelOGTK2HPlXBA
62,"Come Back Baby","Pusha T",548129,https://open.spotify.com/track/2BuBXn15gj4MNYZydyWgrk
63,Mine,Bazzi,543623,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
64,"Over Now","Post Malone",542895,https://open.spotify.com/track/09IOPhEh1OMe0HD9b36FJk
65,"All The Stars (with SZA)","Kendrick Lamar",540419,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
66,"92 Explorer","Post Malone",539162,https://open.spotify.com/track/1D2L6MefbXon28PzIk9I3r
67,Hun43rd,"A$AP Rocky",537442,https://open.spotify.com/track/1r33iukEx0COYuBzyXPmPP
68,"Zack And Codeine","Post Malone",526949,https://open.spotify.com/track/5lZZmityu9TAjNvSY6GLhR
69,Santeria,"Pusha T",520111,https://open.spotify.com/track/4LKSaRoKNnlpKXTT663BrT
70,Infrared,"Pusha T",519909,https://open.spotify.com/track/6cpsixIHI63L0hwh3CwZg3
71,"Be Careful","Cardi B",504239,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
72,"Stir Fry",Migos,497488,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
73,"Takin' Shots","Post Malone",488656,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw
74,Changes,"A$AP Rocky",484346,https://open.spotify.com/track/1dzwFgBlZNxt28aQOinNGn
75,"Same Bitches (feat. G-Eazy & YG)","Post Malone",480120,https://open.spotify.com/track/688QpQAwqsLdBR6lr13wK1
76,"Where Were You In The Morning?","Shawn Mendes",476105,https://open.spotify.com/track/51wrmElSLxFzc0vSQPeTxs
77,"XO TOUR Llif3","Lil Uzi Vert",471806,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
78,"Like To Be You feat. Julia Michaels","Shawn Mendes",463987,https://open.spotify.com/track/5QskYLFPX9y7pLU0VEMNbr
79,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",463535,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
