,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Falling Down - Bonus Track","Lil Peep",2158263,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
2,"I Love It (& Lil Pump)","Kanye West",1806285,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"New Patek","Lil Uzi Vert",1715498,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
4,"SICKO MODE","Travis Scott",1551386,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
5,"Lucky You (feat. Joyner Lucas)",Eminem,1346485,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
6,"Lucid Dreams","Juice WRLD",1335275,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
7,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1286909,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
8,"Mo Bamba","Sheck Wes",1106524,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
9,SAD!,XXXTENTACION,1038021,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
10,Nonstop,Drake,1025623,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
11,"In My Feelings",Drake,1020855,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
12,"Wake Up in the Sky","Gucci Mane",1007531,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
13,Happier,Marshmello,970491,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
14,"No Stylist","French Montana",937243,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
15,Moonlight,XXXTENTACION,924767,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
16,Better,Khalid,905997,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
17,"Yes Indeed","Lil Baby",879714,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
18,"Taste (feat. Offset)",Tyga,878313,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
19,"Eastside (with Halsey & Khalid)","benny blanco",875230,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
20,Killshot,Eminem,873905,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
21,"Better Now","Post Malone",855955,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
22,"Drip Too Hard","Lil Baby",849974,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
23,"I Like It","Cardi B",745842,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
24,Noticed,"Lil Mosey",718401,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
25,STARGAZING,"Travis Scott",716473,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
26,"Jocelyn Flores",XXXTENTACION,686042,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
27,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,680312,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
28,"Lean Wit Me","Juice WRLD",655905,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
29,"No Brainer","DJ Khaled",636250,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
30,"The Ringer",Eminem,634754,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
31,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,627133,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
32,"All Girls Are The Same","Juice WRLD",618048,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
33,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",617285,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
34,YOSEMITE,"Travis Scott",595481,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
35,Natural,"Imagine Dragons",595473,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
36,"RAP DEVIL","Machine Gun Kelly",594429,https://open.spotify.com/track/43TP6JCWXgkc2D7Xjz5hBr
37,breathin,"Ariana Grande",590796,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
38,"God's Plan",Drake,586842,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
39,"Self Care","Mac Miller",585505,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
40,"Psycho (feat. Ty Dolla $ign)","Post Malone",584128,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
41,"God is a woman","Ariana Grande",574739,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
42,changes,XXXTENTACION,563109,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
43,September,"Earth, Wind & Fire",558653,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
