,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Nonstop,Drake,5749019,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,Survival,Drake,5219711,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
3,Emotionless,Drake,4842941,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
4,Elevate,Drake,4686139,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
5,"8 Out Of 10",Drake,4170547,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
6,"I'm Upset",Drake,3945109,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
7,"Mob Ties",Drake,3859100,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
8,"Talk Up",Drake,3823354,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
9,"Can’t Take A Joke",Drake,3642782,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
10,"Don’t Matter To Me",Drake,3466023,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
11,"God's Plan",Drake,3386616,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
12,"Sandra’s Rose",Drake,3210108,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
13,"Nice For What",Drake,2901725,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
14,"Is There More",Drake,2807246,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
15,"In My Feelings",Drake,2752535,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
16,"Summer Games",Drake,2752068,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
17,Peak,Drake,2613077,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
18,Jaded,Drake,2504735,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
19,Finesse,Drake,2253262,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
20,"Blue Tint",Drake,2228081,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
21,"That’s How You Feel",Drake,2138989,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
22,"Ratchet Happy Birthday",Drake,2056097,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
23,"After Dark",Drake,1979841,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
24,SAD!,XXXTENTACION,1947678,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
25,"Lucid Dreams","Juice WRLD",1924332,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
26,"March 14",Drake,1830831,https://open.spotify.com/track/40IiSjljbAhrSbdJ3HxSfH
27,"Final Fantasy",Drake,1662772,https://open.spotify.com/track/7ijJ5crvsnCvCLJbHpyq3j
28,Moonlight,XXXTENTACION,1477334,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
29,"I Like It","Cardi B",1335220,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
