,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1502419,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2,"SICKO MODE","Travis Scott",1300318,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
3,"All I Want for Christmas Is You","Mariah Carey",1293250,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
4,"thank u, next","Ariana Grande",1283696,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
5,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1215953,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
6,"Going Bad (feat. Drake)","Meek Mill",1199560,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
7,"a lot","21 Savage",1174611,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
8,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1152342,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
9,"Mo Bamba","Sheck Wes",1110561,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
10,"Rockin' Around The Christmas Tree","Brenda Lee",1102416,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
11,"Jingle Bell Rock","Bobby Helms",1083369,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
12,"It's the Most Wonderful Time of the Year","Andy Williams",988904,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
13,"Santa Tell Me","Ariana Grande",979774,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
14,"Without Me",Halsey,966694,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
15,"Last Christmas",Wham!,914853,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
16,monster,"21 Savage",843686,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
17,"Leave Me Alone","Flipp Dinero",829490,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
18,"It's Beginning to Look a Lot Like Christmas","Michael Bublé",817256,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
19,"all my friends","21 Savage",802096,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l
20,"Lucid Dreams","Juice WRLD",765581,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
21,"A Holly Jolly Christmas - Single Version","Burl Ives",748880,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
22,"Wake Up in the Sky","Gucci Mane",745032,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
23,"The Christmas Song (Merry Christmas To You)","Nat King Cole",727618,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
24,"Do They Know It's Christmas? - 1984 Version","Band Aid",722285,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
25,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",709738,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
26,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",707324,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
27,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",692793,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM
28,Money,"Cardi B",692169,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
29,Mistletoe,"Justin Bieber",683404,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
30,imagine,"Ariana Grande",677970,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
31,SAD!,XXXTENTACION,676787,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
32,"White Christmas","Bing Crosby",658898,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
33,"whoa (mind in awe)",XXXTENTACION,641982,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
34,BAD!,XXXTENTACION,634025,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
35,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",611239,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
36,Moonlight,XXXTENTACION,604078,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
37,"can't leave without it","21 Savage",601029,https://open.spotify.com/track/0hPLZrnDgtKxrym1BHjDhd
38,"Happy Xmas (War Is Over) - Remastered","John Lennon",597694,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
39,Happier,Marshmello,596837,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
40,"Look Back At It","A Boogie Wit da Hoodie",594757,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
41,"Better Now","Post Malone",587506,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
42,"Armed And Dangerous","Juice WRLD",575861,https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX
43,Nonstop,Drake,566563,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
44,"Feliz Navidad","José Feliciano",563484,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
