,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1678169,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2,"a lot","21 Savage",1525801,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d
3,"thank u, next","Ariana Grande",1519256,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
4,"SICKO MODE","Travis Scott",1487510,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
5,"Going Bad (feat. Drake)","Meek Mill",1399981,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",1361796,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",1319384,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
8,"All I Want for Christmas Is You","Mariah Carey",1241586,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
9,"Mo Bamba","Sheck Wes",1213197,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
10,"Without Me",Halsey,1173965,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
11,"all my friends","21 Savage",1167949,https://open.spotify.com/track/4paAidoE8VAemwU4jgCc6l
12,monster,"21 Savage",1150034,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU
13,"break da law","21 Savage",1054877,https://open.spotify.com/track/5ZSIExfQuVv69tw5Qw3yDl
14,"Rockin' Around The Christmas Tree","Brenda Lee",1026612,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
15,"Jingle Bell Rock","Bobby Helms",1002921,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
16,"Santa Tell Me","Ariana Grande",959165,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
17,1.5,"21 Savage",948318,https://open.spotify.com/track/2wOXxtHZgRkkrkEbKLzzqs
18,"Leave Me Alone","Flipp Dinero",942570,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
19,imagine,"Ariana Grande",937946,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
20,"It's the Most Wonderful Time of the Year","Andy Williams",916488,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
21,"gun smoke","21 Savage",908479,https://open.spotify.com/track/4f1XXGjZZ9EkFkrbPJek6X
22,"can't leave without it","21 Savage",906170,https://open.spotify.com/track/0hPLZrnDgtKxrym1BHjDhd
23,"Last Christmas",Wham!,888444,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
24,"out for the night","21 Savage",880924,https://open.spotify.com/track/0ZKKJTv21zJpNrKiL0LYyV
25,"Wake Up in the Sky","Gucci Mane",863879,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
26,"Lucid Dreams","Juice WRLD",858665,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
27,"Startender (feat. Offset and Tyga)","A Boogie Wit da Hoodie",838288,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb
28,asmr,"21 Savage",827834,https://open.spotify.com/track/2QgfDF0fQ4sskDthP8MG5w
29,a&t,"21 Savage",821053,https://open.spotify.com/track/6ho88pvz4c8WCSFbdVXNia
30,"Demons and Angels (feat. Juice WRLD)","A Boogie Wit da Hoodie",784378,https://open.spotify.com/track/3L19besdNQzd342qL78xqm
31,"whoa (mind in awe)",XXXTENTACION,778966,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
32,"It's Beginning to Look a Lot Like Christmas","Michael Bublé",759934,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
33,SAD!,XXXTENTACION,751674,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
34,"ball w/o you","21 Savage",737260,https://open.spotify.com/track/50a8bKqlwDEqeiEknrzkTO
35,BAD!,XXXTENTACION,729487,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
