,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Falling Down - Bonus Track","Lil Peep",1694006,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
2,"I Love It (& Lil Pump)","Kanye West",1551098,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"SICKO MODE","Travis Scott",1392368,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"Lucid Dreams","Juice WRLD",1246954,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,"New Patek","Lil Uzi Vert",1224620,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
6,"Mo Bamba","Sheck Wes",1111603,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
7,"Lucky You (feat. Joyner Lucas)",Eminem,1108030,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
8,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1088706,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
9,Happier,Marshmello,992459,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,Better,Khalid,965278,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
11,SAD!,XXXTENTACION,954363,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
12,Nonstop,Drake,951665,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
13,"Wake Up in the Sky","Gucci Mane",935743,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
14,"In My Feelings",Drake,865848,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
15,Moonlight,XXXTENTACION,857073,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
16,"Drip Too Hard","Lil Baby",845148,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
17,Noticed,"Lil Mosey",829017,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
18,"Eastside (with Halsey & Khalid)","benny blanco",800085,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
19,"Better Now","Post Malone",791848,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
20,"Taste (feat. Offset)",Tyga,781034,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
21,"Yes Indeed","Lil Baby",759998,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
