,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Falling Down - Bonus Track","Lil Peep",1631104,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
2,"I Love It (& Lil Pump)","Kanye West",1519128,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"SICKO MODE","Travis Scott",1421723,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"Lucid Dreams","Juice WRLD",1263176,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
5,"New Patek","Lil Uzi Vert",1202594,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
6,"Mo Bamba","Sheck Wes",1165201,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
7,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1109412,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
8,"Lucky You (feat. Joyner Lucas)",Eminem,1108416,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
9,Happier,Marshmello,1030314,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,Nonstop,Drake,980663,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
11,SAD!,XXXTENTACION,961721,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
12,Better,Khalid,931667,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
13,"Wake Up in the Sky","Gucci Mane",925326,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
14,"Drip Too Hard","Lil Baby",894122,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
15,"In My Feelings",Drake,879045,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
16,Moonlight,XXXTENTACION,865459,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
17,Noticed,"Lil Mosey",836165,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
18,"Better Now","Post Malone",814555,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
19,"Taste (feat. Offset)",Tyga,794079,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
20,"Eastside (with Halsey & Khalid)","benny blanco",790462,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
21,"Yes Indeed","Lil Baby",789958,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
22,Killshot,Eminem,725040,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
