,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,3736723,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Stir Fry",Migos,1453077,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
3,"Pray For Me (with Kendrick Lamar)","The Weeknd",1199263,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
4,rockstar,"Post Malone",1195887,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
5,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",1105629,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
6,Narcos,Migos,1064159,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
7,"I Fall Apart","Post Malone",980639,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
8,Mine,Bazzi,970546,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
9,"The Middle",Zedd,943119,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
10,"Ric Flair Drip (& Metro Boomin)",Offset,932309,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
11,"Bartier Cardi (feat. 21 Savage)","Cardi B",888842,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
12,"All The Stars (with SZA)","Kendrick Lamar",872997,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
13,"Say Something","Justin Timberlake",838422,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
14,MotorSport,Migos,827312,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
15,"No Limit",G-Eazy,824774,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
16,Havana,"Camila Cabello",824084,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
17,"LOVE. FEAT. ZACARI.","Kendrick Lamar",805835,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
