,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,3593565,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Stir Fry",Migos,1110935,https://open.spotify.com/track/2tek8UnoiJdkmpPMqa5KRQ
3,rockstar,"Post Malone",1101307,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
4,Narcos,Migos,1005215,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
5,"Walk It Talk It",Migos,902662,https://open.spotify.com/track/1jr1BnpXymcf2i97mTR8tJ
6,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",884591,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
7,MotorSport,Migos,861610,https://open.spotify.com/track/3g9Mi3kTzzmjBUXN7wnGjI
8,"Ric Flair Drip (& Metro Boomin)",Offset,826145,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
9,"I Fall Apart","Post Malone",821981,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
10,Havana,"Camila Cabello",807699,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
11,"No Limit",G-Eazy,797026,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
12,"Bartier Cardi (feat. 21 Savage)","Cardi B",772645,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
13,"BBO (Bad Bitches Only)",Migos,744997,https://open.spotify.com/track/4BHzHISX21PYwGXiBEUQ70
14,"All The Stars (with SZA)","Kendrick Lamar",733694,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
15,"Him & I (with Halsey)",G-Eazy,687699,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
16,Mine,Bazzi,687378,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
17,"Never Be the Same","Camila Cabello",678899,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
18,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",645112,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
19,"LOVE. FEAT. ZACARI.","Kendrick Lamar",644710,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
20,"Let You Down",NF,639421,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
21,"Diplomatic Immunity",Drake,629020,https://open.spotify.com/track/3tvkzvUTF0yoq3pdBi81I0
22,"XO TOUR Llif3","Lil Uzi Vert",621791,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
23,"Notice Me",Migos,606513,https://open.spotify.com/track/07W9fL0ee9LsqD9c3kNrdo
24,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",603204,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
25,"Sky Walker (feat. Travis Scott)",Miguel,594809,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
26,"The Middle",Zedd,592893,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
27,"Candy Paint","Post Malone",583819,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
28,"Plain Jane","A$AP Ferg",579314,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
29,IDGAF,"Dua Lipa",563909,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
30,"Bank Account","21 Savage",554376,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
31,"Rewrite The Stars","Zac Efron",548326,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
32,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",544621,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
33,"Young Dumb & Broke",Khalid,541392,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
34,Betrayed,"Lil Xan",539806,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
35,"Gang Gang",Migos,538424,https://open.spotify.com/track/0KJEIWTEKMfBL2J7Sn3X5I
36,HUMBLE.,"Kendrick Lamar",537359,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
37,Congratulations,"Post Malone",533732,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
38,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",533639,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
39,"Say Something","Justin Timberlake",528251,https://open.spotify.com/track/09ts3GnICqYEU5PkQCpJK3
40,"Gucci Gang","Lil Pump",516765,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
41,"River (feat. Ed Sheeran)",Eminem,514838,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
42,"Sick Boy","The Chainsmokers",507147,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
43,"White Sand",Migos,498551,https://open.spotify.com/track/2KokOIKdw4zZutDil85Ugh
44,Supastars,Migos,493993,https://open.spotify.com/track/0egwbpNUagfbqFuqaPd6jt
45,Perfect,"Ed Sheeran",484482,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
46,Location,Khalid,451383,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
