,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"I Love It (& Lil Pump)","Kanye West",1830770,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
2,"New Patek","Lil Uzi Vert",1725431,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
3,"SICKO MODE","Travis Scott",1464325,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"Lucky You (feat. Joyner Lucas)",Eminem,1436140,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
5,"Lucid Dreams","Juice WRLD",1276851,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,1201138,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
7,"Wake Up in the Sky","Gucci Mane",1061336,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
8,Better,Khalid,979191,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
9,SAD!,XXXTENTACION,970340,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
10,"In My Feelings",Drake,962781,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
11,Nonstop,Drake,962024,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
12,"Mo Bamba","Sheck Wes",961858,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
13,"Eastside (with Halsey & Khalid)","benny blanco",908489,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
14,Happier,Marshmello,898962,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
15,Moonlight,XXXTENTACION,879579,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
16,"Yes Indeed","Lil Baby",870576,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
17,"Taste (feat. Offset)",Tyga,823492,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
18,"Better Now","Post Malone",815362,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
19,"Drip Too Hard","Lil Baby",747377,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
20,Noticed,"Lil Mosey",694862,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
21,Natural,"Imagine Dragons",690130,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
22,"I Like It","Cardi B",688752,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
23,"The Ringer",Eminem,688248,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
24,STARGAZING,"Travis Scott",672872,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
25,"Jocelyn Flores",XXXTENTACION,657785,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
26,breathin,"Ariana Grande",652162,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
27,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,642435,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
28,"Lean Wit Me","Juice WRLD",642220,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
29,"Self Care","Mac Miller",630790,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
30,"Girls Like You (feat. Cardi B)","Maroon 5",619665,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
31,"Electricity (with Dua Lipa)","Silk City",610066,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
32,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,601741,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
33,"All Girls Are The Same","Juice WRLD",598132,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
34,"Be Alright","Dean Lewis",592176,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
35,"No Brainer","DJ Khaled",576515,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
36,"Promises (with Sam Smith)","Calvin Harris",573691,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
37,"God is a woman","Ariana Grande",568467,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
38,"Psycho (feat. Ty Dolla $ign)","Post Malone",556405,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
39,"SLOW DANCING IN THE DARK",Joji,552718,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
40,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",539749,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
41,Thunderclouds,Sia,536609,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
42,changes,XXXTENTACION,535914,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
43,"God's Plan",Drake,535626,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
44,"Not Alike (feat. Royce Da 5'9)",Eminem,534245,https://open.spotify.com/track/28FGV3ORH14MYORd7s5dlU
45,"Drew Barrymore","Bryce Vine",524957,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
46,Youngblood,"5 Seconds of Summer",518310,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
47,Fall,Eminem,517039,https://open.spotify.com/track/58QhkbaAkLFnn7JwAnAato
48,"Nice For What",Drake,499721,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
49,"rockstar (feat. 21 Savage)","Post Malone",498496,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
50,"Leave Me Alone","Flipp Dinero",495210,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
51,"Beautiful (feat. Camila Cabello)",Bazzi,488382,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
52,"Taking A Walk","Trippie Redd",470912,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
53,"Look Alive (feat. Drake)","BlocBoy JB",467326,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
54,"RAP DEVIL","Machine Gun Kelly",466224,https://open.spotify.com/track/63TyoT9Ee03rQxv8xmdJ2l
55,YOSEMITE,"Travis Scott",462433,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
56,"I Fall Apart","Post Malone",447940,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
57,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",439154,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
58,REMEDY,Alesso,438762,https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg
59,"WORKIN ME",Quavo,433370,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
60,Greatest,Eminem,428376,https://open.spotify.com/track/2XTquzYQAdT1Hk78bOUwsv
61,"Body (feat. brando)","Loud Luxury",425661,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
62,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",418449,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
63,"Everybody Dies In Their Nightmares",XXXTENTACION,416403,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
64,"Love Lies (with Normani)",Khalid,415690,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
65,"no tears left to cry","Ariana Grande",412250,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
66,Trip,"Ella Mai",409187,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa
67,"Pretty Little Fears (feat. J. Cole)",6LACK,392828,https://open.spotify.com/track/4at3d5QWnlibMVN75ECDrp
68,Kamikaze,Eminem,390636,https://open.spotify.com/track/2gsNpSn7VvvJuSrIDfRoYy
69,"In My Mind",Dynoro,387450,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
70,"lovely (with Khalid)","Billie Eilish",385205,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
71,"XO TOUR Llif3","Lil Uzi Vert",384970,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
72,"Ric Flair Drip (& Metro Boomin)",Offset,383418,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
73,BEBE,6ix9ine,372573,https://open.spotify.com/track/7ATATJztoWLcqDAcVVof0C
74,"REEL IT IN",Aminé,371873,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
75,"High Hopes","Panic! At The Disco",369311,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
76,"Jackie Chan",Tiësto,362425,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
77,"Te Boté - Remix","Nio Garcia",358072,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
78,Hope,XXXTENTACION,354495,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
79,OTW,Khalid,352400,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
80,"Plug Walk","Rich The Kid",348440,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
81,Lust,"Lil Skies",347512,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
82,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,340261,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
83,"Look At Me!",XXXTENTACION,337092,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
84,"I'm Upset",Drake,334963,https://open.spotify.com/track/3qN5qMTKyEEmiTZD38BNTT
85,SWISH,Tyga,332354,https://open.spotify.com/track/55GiOwtxNajXVbpjjIzMnD
86,"Feels Like Summer","Childish Gambino",330808,https://open.spotify.com/track/7p4vHnYXkxlzvfePJVpcTr
87,"I Like Me Better",Lauv,322189,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
88,Legends,"Juice WRLD",320754,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
89,"Magic In The Hamptons (feat. Lil Yachty)","Social House",320542,https://open.spotify.com/track/2Yer0p7uB2lVBUAtANuuQp
90,"Happy Now",Zedd,320510,https://open.spotify.com/track/4keoy2fqgwGnbWlm3ZVZFa
91,"Mob Ties",Drake,319818,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
92,"Ball For Me (feat. Nicki Minaj)","Post Malone",314736,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
93,"East Atlanta Love Letter (feat. Future)",6LACK,314019,https://open.spotify.com/track/6rJmWa5DvQ3Nby3tdcX2L0
94,"I'm a Mess","Bebe Rexha",313154,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R
95,"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo",311758,https://open.spotify.com/track/5Xn4IyTtW6FUGIUyWjbUHG
96,"Balenciaga Challenge (feat. Offset)",6LACK,308833,https://open.spotify.com/track/6Zisja44KqMZj4GM4UY6Yv
97,"Shake It Up","Trippie Redd",305783,https://open.spotify.com/track/6yz0Jndhv0QjKdpcEMbOjz
98,"BUTTERFLY EFFECT","Travis Scott",302972,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
99,Normal,Eminem,301217,https://open.spotify.com/track/0evt4UZbdhnHtcAnxkm6A1
100,"Candy Paint","Post Malone",300427,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
101,Mine,Bazzi,299991,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
102,"Boo'd Up","Ella Mai",299364,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
103,"Vaina Loca",Ozuna,299141,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
