,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Nonstop,Drake,3174179,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,"Don’t Matter To Me",Drake,2355218,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,"In My Feelings",Drake,2223604,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
4,"I'm Upset",Drake,2098683,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
5,Emotionless,Drake,2043592,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
6,"Mob Ties",Drake,2042548,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
7,"Lucid Dreams","Juice WRLD",1866270,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
8,"God's Plan",Drake,1810887,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
9,Elevate,Drake,1808131,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
10,"Nice For What",Drake,1759825,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
11,SAD!,XXXTENTACION,1703039,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
12,"Can’t Take A Joke",Drake,1673514,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
13,"Talk Up",Drake,1619269,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
14,"8 Out Of 10",Drake,1551843,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
15,Survival,Drake,1510834,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
16,"Sandra’s Rose",Drake,1351680,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
17,Moonlight,XXXTENTACION,1312982,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
18,"Summer Games",Drake,1289754,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
19,"Blue Tint",Drake,1250449,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
20,"I Like It","Cardi B",1187608,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
21,Jaded,Drake,1152906,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
22,"That’s How You Feel",Drake,1100922,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
23,"Is There More",Drake,1090997,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
24,Finesse,Drake,1088494,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
25,Peak,Drake,1081597,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
26,"Taste (feat. Offset)",Tyga,1061549,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
27,"After Dark",Drake,1060960,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
28,"Girls Like You (feat. Cardi B)","Maroon 5",1053814,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
29,"Better Now","Post Malone",1039104,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
30,"Yes Indeed","Lil Baby",979959,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
31,"Ratchet Happy Birthday",Drake,922659,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
32,"Jocelyn Flores",XXXTENTACION,882955,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
