,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"whoa (mind in awe)",XXXTENTACION,1559480,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa
54,"The Christmas Song (Merry Christmas To You)","Nat King Cole",1558303,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
55,"Be Alright","Dean Lewis",1515773,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
56,"I Like It","Cardi B",1505773,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
57,"Leave Me Alone","Flipp Dinero",1505606,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
58,"Sleigh Ride","The Ronettes",1501572,https://open.spotify.com/track/5ASM6Qjiav2xPe7gRkQMsQ
59,1.5,"21 Savage",1492670,https://open.spotify.com/track/2wOXxtHZgRkkrkEbKLzzqs
60,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",1478422,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
61,"Wake Up in the Sky","Gucci Mane",1474052,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
62,"KIKA (feat. Tory Lanez)",6ix9ine,1466732,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
63,"Bad Liar","Imagine Dragons",1464966,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
64,"Merry Christmas Everyone - Remastered","Shakin' Stevens",1464269,https://open.spotify.com/track/2ISl1zekPsc26sUQpVt8UB
65,"Vaina Loca",Ozuna,1462279,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
66,"A Holly Jolly Christmas - Single Version","Burl Ives",1440365,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe
67,BAD!,XXXTENTACION,1434942,https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ
68,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",1411835,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
69,"BEBE (feat. Anuel Aa)",6ix9ine,1410927,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
70,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",1406815,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
71,"can't leave without it","21 Savage",1404549,https://open.spotify.com/track/0hPLZrnDgtKxrym1BHjDhd
72,"gun smoke","21 Savage",1397206,https://open.spotify.com/track/4f1XXGjZZ9EkFkrbPJek6X
73,"Promises (with Sam Smith)","Calvin Harris",1395902,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
74,"rockstar (feat. 21 Savage)","Post Malone",1375368,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
75,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",1370205,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
76,"Taste (feat. Offset)",Tyga,1363375,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
77,"out for the night","21 Savage",1358605,https://open.spotify.com/track/0ZKKJTv21zJpNrKiL0LYyV
78,Adictiva,"Daddy Yankee",1346641,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
79,"God's Plan",Drake,1338649,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
80,"In My Feelings",Drake,1329135,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
