,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Nonstop,Drake,2952407,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
2,"Don’t Matter To Me",Drake,2180908,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
3,"In My Feelings",Drake,2146956,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
4,"I'm Upset",Drake,1942949,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
5,"Lucid Dreams","Juice WRLD",1827579,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
6,Emotionless,Drake,1805491,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
7,"Mob Ties",Drake,1798078,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
8,"God's Plan",Drake,1677308,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
9,"Nice For What",Drake,1669730,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
10,SAD!,XXXTENTACION,1658137,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
11,Elevate,Drake,1570750,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
12,"Can’t Take A Joke",Drake,1467392,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
13,"Talk Up",Drake,1387699,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
14,"8 Out Of 10",Drake,1296433,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
15,Survival,Drake,1281139,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
16,"I Like It","Cardi B",1274578,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
17,Moonlight,XXXTENTACION,1258089,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
18,"Sandra’s Rose",Drake,1154717,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
19,"Taste (feat. Offset)",Tyga,1128686,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
20,"Summer Games",Drake,1117991,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
21,"Blue Tint",Drake,1106059,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
22,"Better Now","Post Malone",1081112,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
23,"Girls Like You (feat. Cardi B)","Maroon 5",1074041,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
24,"Yes Indeed","Lil Baby",1034639,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
25,Jaded,Drake,988212,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
26,"That’s How You Feel",Drake,965928,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
27,Finesse,Drake,944278,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
28,"After Dark",Drake,924948,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
29,Peak,Drake,911935,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
30,"Is There More",Drake,911495,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
31,"Jocelyn Flores",XXXTENTACION,840103,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
32,"Psycho (feat. Ty Dolla $ign)","Post Malone",819424,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
33,changes,XXXTENTACION,814218,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
34,"Ratchet Happy Birthday",Drake,794289,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
35,"All Girls Are The Same","Juice WRLD",739508,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
36,"Jackie Chan",Tiësto,709019,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
37,"All Mine","Kanye West",693467,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
38,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,689088,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
39,APESHIT,"The Carters",688013,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
40,"Ocean (feat. Khalid)","Martin Garrix",686268,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
41,"Look Alive (feat. Drake)","BlocBoy JB",683364,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
42,"March 14",Drake,681111,https://open.spotify.com/track/40IiSjljbAhrSbdJ3HxSfH
43,"Final Fantasy",Drake,670826,https://open.spotify.com/track/7ijJ5crvsnCvCLJbHpyq3j
44,"no tears left to cry","Ariana Grande",663986,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
45,Youngblood,"5 Seconds of Summer",636362,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
46,"Back To You","Selena Gomez",633206,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
47,"rockstar (feat. 21 Savage)","Post Malone",623061,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
48,"Bed (feat. Ariana Grande)","Nicki Minaj",600766,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
49,"Everybody Dies In Their Nightmares",XXXTENTACION,544181,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
50,"One Kiss (with Dua Lipa)","Calvin Harris",533726,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
51,"Boo'd Up","Ella Mai",531361,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
52,"lovely (with Khalid)","Billie Eilish",525293,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
53,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,507634,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
54,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",502867,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
55,"Ball For Me (feat. Nicki Minaj)","Post Malone",501171,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
56,"Ric Flair Drip (& Metro Boomin)",Offset,500756,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
57,"Plug Walk","Rich The Kid",497785,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
58,"Te Boté - Remix","Nio Garcia",496353,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
59,"This Is America","Childish Gambino",480992,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
60,"Walk It Talk It",Migos,461091,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
61,"I Fall Apart","Post Malone",460994,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
62,Mine,Bazzi,452027,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
63,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",447946,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
64,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,445562,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
65,JAPAN,"Famous Dex",439412,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
66,"Solo (feat. Demi Lovato)","Clean Bandit",431657,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
67,Hope,XXXTENTACION,423617,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
68,"Look At Me!",XXXTENTACION,415446,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
69,"High Hopes","Panic! At The Disco",412081,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
70,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",411545,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
71,"Love Lies (with Normani)",Khalid,404604,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
72,"Candy Paint","Post Malone",401721,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
73,Simple,"Florida Georgia Line",400268,https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi
74,"Born To Be Yours",Kygo,399473,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
75,"Start Again (feat. Logic)",OneRepublic,396097,https://open.spotify.com/track/1Nj2oBISdFDSF8eDuXcALz
76,"Shoota (feat. Lil Uzi Vert)","Playboi Carti",382724,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
77,OTW,Khalid,380454,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
78,"Bigger Than You (feat. Drake & Quavo)","2 Chainz",376216,https://open.spotify.com/track/5S1IUPueD0xE0vj4zU3nSf
79,Yikes,"Kanye West",368908,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
80,"The Middle",Zedd,366591,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
81,Tequila,"Dan + Shay",365087,https://open.spotify.com/track/42fw0rxRO2xbesF6mJfd4Y
82,"XO TOUR Llif3","Lil Uzi Vert",362562,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
83,"Playinwitme (feat. Kehlani)",KYLE,352196,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
84,NUMB,XXXTENTACION,352154,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl
85,Rise,"Jonas Blue",337910,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3
86,"Spoil My Night (feat. Swae Lee)","Post Malone",335720,https://open.spotify.com/track/5VuxWXbt7XENQCtE9TzpTv
87,"Call Out My Name","The Weeknd",335604,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
88,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",335112,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
89,Paranoid,"Post Malone",334091,https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq
90,KOD,"J. Cole",333262,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
91,"Champion (feat. Travis Scott)",NAV,330493,https://open.spotify.com/track/6nO3tr47nr2P7f3hXb8JIo
92,Stay,"Post Malone",328826,https://open.spotify.com/track/4H7WNRErSbONkM06blBoGc
93,Body,"Loud Luxury",328495,https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r
94,"Rich & Sad","Post Malone",326895,https://open.spotify.com/track/2VdT56BGpdqNHUgOe1j5vc
95,"Freaky Friday (feat. Chris Brown)","Lil Dicky",322682,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
96,"New Light","John Mayer",322013,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV
97,"Stir Fry",Migos,320831,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
98,FRIENDS,Marshmello,320061,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
99,"Lean Wit Me","Juice WRLD",319475,https://open.spotify.com/track/3RWM7z6BF8C6z9ypLtxz4M
100,Congratulations,"Post Malone",318324,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
101,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",316930,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
102,"All The Stars (with SZA)","Kendrick Lamar",316598,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
103,HUMBLE.,"Kendrick Lamar",313306,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
104,Legends,"Juice WRLD",313177,https://open.spotify.com/track/1Knctxx9vGZxpZfF66BIEa
105,"Better Not (feat. Wafia)","Louis The Child",312730,https://open.spotify.com/track/447yWcDPg1ddgcHBLGpJC0
106,"Red Roses (feat. Landon Cube)","Lil Skies",311801,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
107,Reborn,"KIDS SEE GHOSTS",308931,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT
108,"Sin Pijama","Becky G",305054,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
109,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",303861,https://open.spotify.com/track/0dSIrRkA4PadGll16TgbnV
110,"Beautiful Crazy","Luke Combs",298096,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
111,TATI,6ix9ine,297947,https://open.spotify.com/track/6kp0inxIexxSiDJfWqq0ZL
