,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,3467481,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,Nonstop,Drake,2087707,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
3,"Lucid Dreams","Juice WRLD",1842117,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"Don’t Matter To Me",Drake,1729515,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
5,SAD!,XXXTENTACION,1607311,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"I'm Upset",Drake,1350547,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
7,"Nice For What",Drake,1309133,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
8,Moonlight,XXXTENTACION,1258202,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
9,"I Like It","Cardi B",1229387,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"God's Plan",Drake,1153878,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
11,"Taste (feat. Offset)",Tyga,1133399,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
12,"Mob Ties",Drake,1127061,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
13,"Better Now","Post Malone",1103707,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
14,"Girls Like You (feat. Cardi B)","Maroon 5",1097355,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
15,"Yes Indeed","Lil Baby",1079960,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
16,Emotionless,Drake,1001226,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
17,Elevate,Drake,841032,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
18,"Can’t Take A Joke",Drake,821299,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
19,"Psycho (feat. Ty Dolla $ign)","Post Malone",804964,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
20,"Jocelyn Flores",XXXTENTACION,791521,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
21,changes,XXXTENTACION,770492,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
22,"All Girls Are The Same","Juice WRLD",753886,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
23,"Ocean (feat. Khalid)","Martin Garrix",726761,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
24,"Look Alive (feat. Drake)","BlocBoy JB",682004,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
25,"Jackie Chan",Tiësto,675092,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
26,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,673921,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
27,"Blue Tint",Drake,657831,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
28,"Boo'd Up","Ella Mai",657067,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
29,"8 Out Of 10",Drake,654731,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
30,Youngblood,"5 Seconds of Summer",648102,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
31,APESHIT,"The Carters",634934,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
32,Survival,Drake,633252,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
33,"All Mine","Kanye West",628950,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
34,"rockstar (feat. 21 Savage)","Post Malone",621405,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
35,"no tears left to cry","Ariana Grande",611444,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
36,"Talk Up",Drake,605987,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
37,"After Dark",Drake,599474,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
38,"Summer Games",Drake,596594,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
39,"Sandra’s Rose",Drake,584727,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
40,"Back To You","Selena Gomez",584329,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
41,"Bed (feat. Ariana Grande)","Nicki Minaj",554919,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
42,"That’s How You Feel",Drake,544735,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
43,"One Kiss (with Dua Lipa)","Calvin Harris",534717,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
44,"Ball For Me (feat. Nicki Minaj)","Post Malone",533311,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
45,"WIFI LIT",Future,520254,https://open.spotify.com/track/6WlxcZKpEV6Bwe9InoVhMp
46,"Everybody Dies In Their Nightmares",XXXTENTACION,518570,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
47,"Plug Walk","Rich The Kid",513982,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
48,Jaded,Drake,511402,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
49,Finesse,Drake,499193,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
50,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",495192,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
51,"Te Boté - Remix","Nio Garcia",483593,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
52,"lovely (with Khalid)","Billie Eilish",479093,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
53,"I Fall Apart","Post Malone",470891,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
54,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",459428,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
55,"This Is America","Childish Gambino",454390,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
56,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,451039,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
57,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,447516,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
58,"Ric Flair Drip (& Metro Boomin)",Offset,441067,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
59,Peak,Drake,440803,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
60,"Walk It Talk It",Migos,439812,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
61,"Solo (feat. Demi Lovato)","Clean Bandit",438036,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
62,JAPAN,"Famous Dex",430218,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
63,"Love Lies (with Normani)",Khalid,427394,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
64,"High Hopes","Panic! At The Disco",427372,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
65,Mine,Bazzi,427243,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
66,"Drug Addicts","Lil Pump",427240,https://open.spotify.com/track/6tpHfEM8eaETzlPOARYWfZ
67,"Is There More",Drake,425911,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
68,Simple,"Florida Georgia Line",415697,https://open.spotify.com/track/6fYkv8bGKiZl4Y3LYrFfAZ
69,"Born To Be Yours",Kygo,409966,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
70,"Look At Me!",XXXTENTACION,406614,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
71,Hope,XXXTENTACION,405492,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
72,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",393715,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
73,"Ratchet Happy Birthday",Drake,393693,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
74,"Candy Paint","Post Malone",392222,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
75,OTW,Khalid,387176,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
76,"Final Fantasy",Drake,383334,https://open.spotify.com/track/7ijJ5crvsnCvCLJbHpyq3j
77,"March 14",Drake,373403,https://open.spotify.com/track/40IiSjljbAhrSbdJ3HxSfH
78,"Millidelphia (feat. Swizz Beatz)","Meek Mill",367992,https://open.spotify.com/track/1dQ84P0W0lOckT02lPEhhP
