Position,Artist,Title
1,Alex Kiskachi,On Land and Sea
2,Ragged Jack,What We've Got Coming
3,Kidzone,Dem Bones
4,Armen Firman,Dressed For War
5,Dave Hancock,It Might As Well Be Spring
6,Fools In Paradise,Warm Your Soul
7,Izzy Kieffer and Friends,Ana Hashem - The Riff
8,Ewan MacColl,Stronger Than Pain Is The Human Will To Survive...
9,A Little Birdsong,Sing Goodbye
10,Texmachine,Skinny White Boy
