Position,Artist,Title
1,Post Malone,"Psycho (feat. Ty Dolla $ign)"
2,6ix9ine,"FEFE (feat. Nicki Minaj & Murda Beatz)"
3,Bella Thorne,"B*TCH I’M BELLA THORNE"
4,Justin Timberlake,"The Hard Stuff"
5,Maroon 5,"Girls Like You (feat. Cardi B)"
6,Zayn,"Let Me"
7,DJ Snake,"Taki Taki (with Selena Gomez,Ozuna & Cardi B)"
8,Kanye West and Lil Pump,"I Love It"
9,Greta Van Fleet,"Lover,Leaver"
10,Eminem,"Fall"
